catalog name	priority	cadence	airmass	observable during the night	coordinates (DACE)	last_obs	cadence percentage overdue [%]
J0158-4325	0	3	1.5	True	1:58:41.376 / -43:25:04.08	2460232.625	66.66666666666667
J0235-2433	0	3	1.5	True	2:35:27.408 / -24:33:13.68	2460232.625	66.66666666666667
PSJ0259-2338	0	3	1.5	True	2:59:33.576 / -23:38:01.68	2460232.625	66.66666666666667
HE0435-1223	0	3	1.5	True	4:38:14.856 / -12:17:14.82	2460232.625	66.66666666666667
J0457-7820	0	3	1.5	True	4:57:00 / -78:20:00	2460232.625	66.66666666666667
DES0501-4118	0	3	1.5	True	5:01:46.056 / -41:18:01.08	2460232.625	66.66666666666667
J0659+1629	0	3	1.5	True	6:59:00 / 16:29:00	2460232.625	66.66666666666667
J0818-2613	0	3	1.5	True	8:18:00 / -26:13:00	2460232.625	66.66666666666667
J0941+0518	0	3	1.5	False	9:41:22.536 / 5:18:23.76	2460232.625	66.66666666666667
RXJ1131-123	0	3	1.5	False	11:31:51.456 / -12:31:58.44	2460232.625	66.66666666666667
J1247-3253	0	3	1.5	False	12:47:00 / -32:53:00	2460232.625	66.66666666666667
J1537-3010	0	3	1.5	False	15:37:25.34352 / -30:10:16.806	2460232.625	66.66666666666667
PSJ1640+1045	0	3	1.5	False	16:40:18.168 / 10:45:05.4	2460232.625	66.66666666666667
GRAL1651-0417	0	3	1.5	False	16:51:05.376 / -4:17:25.08	2460232.625	66.66666666666667
PSJ1800+0146	0	3	1.5	False	18:00:00 / 1:46:00	2460232.625	66.66666666666667
DES2038-4008	0	3	1.5	True	20:38:02.712 / -40:08:13.56	2460232.625	66.66666666666667
PSJ2107-1611	0	3	1.5	True	21:07:00 / -16:11:00	2460232.625	66.66666666666667
DECALSJ2157-4201	0	3	1.5	True	21:57:00 / -42:01:00	2460232.625	66.66666666666667
